id,question_id,position,option_text,is_correct
f22b1bf8-5f41-43c1-80eb-f113f558865a,874f6344-d6c1-463e-af68-44b3488d1171,0,"implements",false
ecb4d8ef-9593-4cfe-9918-371a84c1c92a,874f6344-d6c1-463e-af68-44b3488d1171,1,"extends",true
fc03b8c6-9af2-489e-8fa4-decb7823b7a0,874f6344-d6c1-463e-af68-44b3488d1171,2,"inherits",false
39d5c45b-6f2d-4ce5-851f-a7b0d0f1945e,874f6344-d6c1-463e-af68-44b3488d1171,3,"super",false
cb9d6340-aa93-4ae3-a05d-d9d9af970bc0,f16e621b-8aed-4ccd-ac8a-06824bbf7b64,0,"Abstract class",false
ab2bbb0e-8721-4f9b-9bad-e9c8ad3b3187,f16e621b-8aed-4ccd-ac8a-06824bbf7b64,1,"Interface",true
94fb769d-9f67-4429-a4f3-ab44135daa7c,f16e621b-8aed-4ccd-ac8a-06824bbf7b64,2,"Final class",false
73ba7054-2a93-41fd-b854-8f201dd2569d,f16e621b-8aed-4ccd-ac8a-06824bbf7b64,3,"Static class",false
c21194ac-cf71-492c-baae-9926e318ceb2,c6ceaa95-ad71-4a9d-a68c-235c79e83f4c,0,"Kod təkrarının aradan qaldırılması",false
fb96c3d1-a2c0-4105-860d-08c37200a806,c6ceaa95-ad71-4a9d-a68c-235c79e83f4c,1,"Data və metodların bir sinif daxilində gizlədilməsi",true
5d85b578-afc3-4f5e-89e7-e87bb931b42c,c6ceaa95-ad71-4a9d-a68c-235c79e83f4c,2,"Sinifin genişləndirilməsi",false
9cf70ece-f6bf-46ea-ba8c-aad43a9a8b00,c6ceaa95-ad71-4a9d-a68c-235c79e83f4c,3,"Metodun overload edilməsi",false
b7171cae-8080-41e3-b523-8e1214bc25bf,c2dd4038-fdaf-4595-80f2-30a4bdafaf5b,0,"Statik dəyişənə müraciət üçün",false
690768cd-2dae-49bc-9308-13d272b3e7bb,c2dd4038-fdaf-4595-80f2-30a4bdafaf5b,1,"Cari obyektə istinad üçün",true
e03dfa12-9f3f-4aff-aff4-8ec65379c747,c2dd4038-fdaf-4595-80f2-30a4bdafaf5b,2,"Valideyn sinifə müraciət üçün",false
329d97db-e99a-4314-83f6-d542711caa22,c2dd4038-fdaf-4595-80f2-30a4bdafaf5b,3,"Yeni obyekt yaratmaq üçün",false
2ccd8c32-2188-4ad1-8fcb-f166cd5a6370,c81b1891-ef0c-4743-bded-ae3a3b20b5aa,0,"Yalnız inheritance ilə",false
b0195c40-8251-4e18-af9c-404641a67b9e,c81b1891-ef0c-4743-bded-ae3a3b20b5aa,1,"Method overloading və overriding ilə",true
d442c3d8-8912-4759-855b-a771b321c4ab,c81b1891-ef0c-4743-bded-ae3a3b20b5aa,2,"Yalnız interface ilə",false
f04e2004-d81e-4017-a5a5-8fd00a847d85,c81b1891-ef0c-4743-bded-ae3a3b20b5aa,3,"Statik metodlarla",false
fe2096f9-4520-41a2-99e7-1a7ec6f748f5,c9008e25-dd7b-440d-9e6c-0c018a7c50db,0,"Abstract class-da constructor ola bilməz",false
c7ed534e-823c-4caa-ba34-04fdd10211f6,c9008e25-dd7b-440d-9e6c-0c018a7c50db,1,"Interface-də yalnız abstract metodlar ola bilərdi, abstract class-da isə implementasiya edilmiş metodlar da ola bilər",true
2ef697bc-dbb0-4e2c-82f8-c8808fab437b,c9008e25-dd7b-440d-9e6c-0c018a7c50db,2,"Fərq yoxdur",false
6070accd-d3f0-4cc5-b675-095b515bc7c6,c9008e25-dd7b-440d-9e6c-0c018a7c50db,3,"Interface-dən birbaşa obyekt yaratmaq olar",false
90f9ea49-3747-4c93-b2c7-820471d2c32f,75957d4a-9f2c-48ca-ad9a-478abd900396,0,"Eyni sinifdə fərqli parametrlərlə bir neçə constructor olması",true
7edc4d76-18a8-4299-8c24-cb17c0efbd7f,75957d4a-9f2c-48ca-ad9a-478abd900396,1,"Constructor-un override edilməsi",false
d4e9f35e-8374-4dca-aafd-85e4460b704b,75957d4a-9f2c-48ca-ad9a-478abd900396,2,"Yalnız bir constructor olması",false
48dfc674-fd90-43d2-a949-899726f65817,75957d4a-9f2c-48ca-ad9a-478abd900396,3,"Constructor-un private olması",false
162765e4-d1e7-4e6a-93f3-613aebbf187c,86e8e2b0-272c-452b-866f-00a35852d313,0,"Cari obyektə istinad üçün",false
003f61e0-c19a-426a-a823-18f3d00df780,86e8e2b0-272c-452b-866f-00a35852d313,1,"Valideyn sinifin constructor və ya metodlarına müraciət üçün",true
9267fae9-76cd-4b93-821f-c8a62215f294,86e8e2b0-272c-452b-866f-00a35852d313,2,"Statik metod çağırmaq üçün",false
38767906-dff4-4fd9-bbd4-8c9a4fdfc286,86e8e2b0-272c-452b-866f-00a35852d313,3,"Yeni obyekt yaratmaq üçün",false
8d08644b-466f-4813-9953-6b128b0bb756,7cb14be2-dc51-4535-a1b0-9e43e443897f,0,"Obyektin müəyyən tipdən olub-olmadığını yoxlamaq üçün",true
da4e2517-6fc0-47eb-87d5-285896d25104,7cb14be2-dc51-4535-a1b0-9e43e443897f,1,"Yeni obyekt yaratmaq üçün",false
8a7603cd-2e5e-408e-bf21-b599b3d53e46,7cb14be2-dc51-4535-a1b0-9e43e443897f,2,"Metodu overload etmək üçün",false
def2e05b-3d13-4229-9788-586632275211,7cb14be2-dc51-4535-a1b0-9e43e443897f,3,"Sinifi final etmək üçün",false
4ca2a3b6-8b42-457d-be76-874000f0e9a4,9c54af88-14e8-4309-80aa-abf2d2e81e19,0,"Composition 'has-a', inheritance 'is-a' münasibətini ifadə edir",true
cf3043f4-aa64-4075-a4cf-393b99263da4,9c54af88-14e8-4309-80aa-abf2d2e81e19,1,"Fərq yoxdur",false
0da82a4f-4824-4ba2-931d-799c3dd6558d,9c54af88-14e8-4309-80aa-abf2d2e81e19,2,"Composition yalnız interfeyslərlə işləyir",false
9a13e597-5c05-4995-8ba3-f53343353978,9c54af88-14e8-4309-80aa-abf2d2e81e19,3,"Inheritance daha çevikdir",false
