id,topic,text,difficulty
874f6344-d6c1-463e-af68-44b3488d1171,"OOP","Java-da hansı açar söz bir sinifin başqa sinifdən miras almasını təmin edir?",EASY
f16e621b-8aed-4ccd-ac8a-06824bbf7b64,"OOP","Aşağıdakılardan hansı Java-da çoxvarislik (multiple inheritance) əldə etmək üçün istifadə olunur?",MEDIUM
c6ceaa95-ad71-4a9d-a68c-235c79e83f4c,"OOP","Encapsulation (inkapsulyasiya) nəyi ifadə edir?",EASY
c2dd4038-fdaf-4595-80f2-30a4bdafaf5b,"OOP","Java-da 'this' açar sözü nə üçün istifadə olunur?",EASY
c81b1891-ef0c-4743-bded-ae3a3b20b5aa,"OOP","Polymorphism (çoxformalılıq) Java-da necə əldə edilir?",MEDIUM
c9008e25-dd7b-440d-9e6c-0c018a7c50db,"OOP","Abstract class ilə interface arasındakı əsas fərq nədir (Java 8-ə qədər)?",MEDIUM
75957d4a-9f2c-48ca-ad9a-478abd900396,"OOP","Constructor overloading nə deməkdir?",EASY
86e8e2b0-272c-452b-866f-00a35852d313,"OOP","Java-da 'super' açar sözü nə üçün istifadə olunur?",EASY
7cb14be2-dc51-4535-a1b0-9e43e443897f,"OOP","Java-da 'instanceof' operatoru nə üçün istifadə olunur?",EASY
9c54af88-14e8-4309-80aa-abf2d2e81e19,"OOP","Composition (kompozisiya) inheritance-dan nə ilə fərqlənir?",MEDIUM
fc704fbe-b8e2-41a4-847b-8025e35e76e0,"OOP","Method overloading və method overriding arasındakı fərq nədir?",EASY
d6c22c0b-b44b-4c5e-afe5-1b994d8997a6,"OOP","Java-da bütün siniflər hansı sinifdən miras alır?",EASY
c5b17820-9182-4f1c-8955-5fe5b11e164a,"OOP","Abstract metod nə deməkdir?",EASY
29496ef9-6bf4-4311-9c96-82dcdddd0f92,"OOP","Java-da 'final' sinif nə deməkdir?",EASY
534149da-4afc-4ae9-8627-47eb31b2812c,"OOP","Interface-də default metod (Java 8+) nəyə imkan verir?",MEDIUM
b4a83a4a-275f-4a1d-9a23-11401a4f27bf,"OOP","Aggregation və Composition arasındakı fərq nədir?",MEDIUM
